unit,bus,fuel_type,p_min_mw,p_max_mw,variable_cost,startup_cost,shutdown_cost,no_load_cost,ramp_up_mw,ramp_down_mw,min_up_hours,min_down_hours,initial_status
T13,1048,ng,41.0,65.0,25.49,975.0,0.0,500.0,65.0,65.0,2,2,0
T14,1049,ng,41.0,64.0,24.95,960.0,0.0,500.0,64.0,64.0,2,2,0
T15,1050,ng,41.0,64.0,25.44,960.0,0.0,500.0,64.0,64.0,2,2,0
T16,1051,ng,41.0,64.0,24.95,960.0,0.0,500.0,64.0,64.0,2,2,0
T17,1052,ng,41.0,63.0,24.9,945.0,0.0,500.0,63.0,63.0,2,2,0
T19,1062,ng,45.0,71.0,25.19,1065.0,0.0,500.0,71.0,71.0,2,2,0
T20,1063,ng,45.0,71.0,25.78,1065.0,0.0,500.0,71.0,71.0,2,2,0
T24,1072,ng,53.3,206.0,32.71,3090.0,0.0,500.0,206.0,206.0,2,2,0
T25,1073,ng,55.6,206.0,34.08,3090.0,0.0,500.0,206.0,206.0,2,2,0
T26,1074,ng,84.8,166.7,30.94,2500.0,0.0,500.0,166.7,166.7,2,2,0
T27,1075,ng,92.2,166.7,31.18,2500.0,0.0,500.0,166.7,166.7,2,2,0
T28,1076,ng,82.7,158.2,30.6,2373.0,0.0,500.0,158.2,158.2,2,2,0
T29,1077,ng,95.2,158.2,32.22,2373.0,0.0,500.0,158.2,158.2,2,2,0
T35,2023,ng,20.0,87.0,25.14,1305.0,0.0,500.0,87.0,87.0,2,2,0
T36,2024,ng,40.0,76.0,25.78,1140.0,0.0,500.0,76.0,76.0,2,2,0
T39,2063,hydro,25.0,50.0,12.3,100.0,0.0,0.0,150.0,150.0,1,1,0
T40,2063,hydro,25.0,50.0,12.3,100.0,0.0,0.0,150.0,150.0,1,1,0
T44,2082,ng,2.0,17.0,22.93,255.0,0.0,500.0,17.0,17.0,2,2,0
T45,2083,ng,2.0,19.7,22.89,296.0,0.0,500.0,19.7,19.7,2,2,0
T46,2084,ng,2.0,19.7,22.89,296.0,0.0,500.0,19.7,19.7,2,2,0
T47,2085,ng,2.0,19.7,22.89,296.0,0.0,500.0,19.7,19.7,2,2,0
T51,2103,ng,150.0,287.0,39.34,4305.0,0.0,500.0,287.0,287.0,2,2,0
T52,2104,ng,125.0,199.0,34.92,2985.0,0.0,500.0,199.0,199.0,2,2,0
T53,2105,ng,125.0,199.0,34.92,2985.0,0.0,500.0,199.0,199.0,2,2,0
T55,2115,ng,65.0,204.0,33.05,3060.0,0.0,500.0,204.0,204.0,2,2,0
T56,2116,ng,65.0,204.0,34.38,3060.0,0.0,500.0,204.0,204.0,2,2,0
T57,2117,ng,90.0,153.0,30.6,2295.0,0.0,500.0,153.0,153.0,2,2,0
T58,2118,ng,90.0,153.0,30.6,2295.0,0.0,500.0,153.0,153.0,2,2,0
T59,2119,ng,90.0,145.0,29.17,2175.0,0.0,500.0,145.0,145.0,2,2,0
T60,2120,ng,90.0,145.0,29.17,2175.0,0.0,500.0,145.0,145.0,2,2,0
T62,3014,hydro,7.0,13.8,12.3,28.0,0.0,0.0,41.4,41.4,1,1,0
T86,3104,hydro,11.0,18.3,12.3,37.0,0.0,0.0,54.9,54.9,1,1,0
T87,3105,hydro,11.0,18.3,12.3,37.0,0.0,0.0,54.9,54.9,1,1,0
T88,3106,hydro,11.0,18.3,12.3,37.0,0.0,0.0,54.9,54.9,1,1,0
T98,4026,coal,250.0,391.0,17.85,15640.0,0.0,800.0,195.5,195.5,6,6,1
T99,4030,coal,175.0,655.0,21.26,26200.0,0.0,800.0,327.5,327.5,6,6,1
T100,4035,ng,26.0,33.0,23.52,495.0,0.0,500.0,33.0,33.0,2,2,0
T102,4045,hydro,3.0,10.5,12.3,21.0,0.0,0.0,31.5,31.5,1,1,0
T103,4046,hydro,3.0,10.0,12.3,20.0,0.0,0.0,30.0,30.0,1,1,0
T104,4047,hydro,3.0,10.0,12.3,20.0,0.0,0.0,30.0,30.0,1,1,0
T106,4052,ng,18.0,32.5,23.67,488.0,0.0,500.0,32.5,32.5,2,2,0
T107,4058,ng,0.0,155.0,28.04,2325.0,0.0,500.0,155.0,155.0,2,2,0
T108,4059,ng,0.0,155.0,28.78,2325.0,0.0,500.0,155.0,155.0,2,2,0
