period,hours,variable_1,variable_2,sample_count,kendall_tau,gaussian_copula_rho,p_value
P1_Overnight_00_05,00:00-05:59,load_dev,wind_dev,2760,0.20646211870505485,0.31865477182886975,1.9086061194671313e-59
P2_Morning_06_09,06:00-09:59,load_dev,wind_dev,1840,0.1711941745277443,0.26568190625817306,3.629189011227866e-28
P2_Morning_06_09,06:00-09:59,load_dev,solar_dev,1380,-0.17987806484540053,-0.2788071707904462,1.372732306497723e-23
P2_Morning_06_09,06:00-09:59,wind_dev,solar_dev,1380,0.1029733397063584,0.16104575141432487,1.001107832991962e-08
P3_Midday_10_14,10:00-14:59,load_dev,wind_dev,2300,0.09538492321142264,0.14927032302833915,7.055748097696416e-12
P3_Midday_10_14,10:00-14:59,load_dev,solar_dev,2300,-0.01782061264100707,-0.02798889727278394,0.20019563681142594
P3_Midday_10_14,10:00-14:59,wind_dev,solar_dev,2300,0.09290487638459688,0.14541719684642587,2.4181997717268666e-11
P4_Peak_15_19,15:00-19:59,load_dev,wind_dev,2300,0.03368297307434774,0.052884408466004354,0.01547140925319325
P4_Peak_15_19,15:00-19:59,load_dev,solar_dev,2300,0.06066268144234491,0.09514458000345279,1.2970560788223885e-05
P4_Peak_15_19,15:00-19:59,wind_dev,solar_dev,2300,0.08154685257046576,0.12774349192946127,4.583325340270983e-09
P5_Evening_20_23,20:00-23:59,load_dev,wind_dev,1840,0.12724170734953302,0.1985427109253625,2.855318184750854e-16
P5_Evening_20_23,20:00-23:59,load_dev,solar_dev,920,-0.09651784268931492,-0.1510297337681017,2.1091565347150315e-05
P5_Evening_20_23,20:00-23:59,wind_dev,solar_dev,920,0.11490756366411695,0.17951791062418654,4.1210600726355893e-07
