date,year,day_of_year,month,hour,load_mw,wind_mw,solar_mw,net_load_mw
2021-08-30,2021,242,8,0,45162.99,2432.42,0.0,42730.57
2021-08-30,2021,242,8,1,43574.62000000001,2435.1,0.0,41139.52000000001
2021-08-30,2021,242,8,2,42749.37999999999,2068.1,0.0,40681.27999999999
2021-08-30,2021,242,8,3,42745.94,1819.92,0.0,40926.020000000004
2021-08-30,2021,242,8,4,43930.150000000016,1657.91,0.0,42272.24000000001
2021-08-30,2021,242,8,5,46130.609999999986,1043.8500000000001,0.0,45086.75999999999
2021-08-30,2021,242,8,6,46852.560000000005,702.86,0.0,46149.700000000004
2021-08-30,2021,242,8,7,48779.37,580.22,0.01,48199.14
2021-08-30,2021,242,8,8,52328.979999999996,326.38,746.8,51255.799999999996
2021-08-30,2021,242,8,9,56494.130000000005,325.54,1904.2799999999997,54264.310000000005
2021-08-30,2021,242,8,10,60891.47000000003,458.46,3195.67,57237.34000000003
2021-08-30,2021,242,8,11,64590.280000000006,506.65000000000003,4373.07,59710.560000000005
2021-08-30,2021,242,8,12,67575.98000000001,728.87,5264.16,61582.95000000001
2021-08-30,2021,242,8,13,69546.55999999998,1098.1100000000001,5861.62,62586.82999999998
2021-08-30,2021,242,8,14,70768.31000000003,1511.6799999999998,5959.17,63297.460000000036
2021-08-30,2021,242,8,15,71650.85999999999,2350.82,5738.55,63561.489999999976
2021-08-30,2021,242,8,16,71572.42,3912.4700000000003,5664.43,61995.52
2021-08-30,2021,242,8,17,70109.89000000003,4560.33,4476.469999999999,61073.090000000026
2021-08-30,2021,242,8,18,67365.55999999998,5202.3,2967.3199999999997,59195.93999999998
2021-08-30,2021,242,8,19,65162.21000000002,6005.05,1283.74,57873.42000000002
2021-08-30,2021,242,8,20,61605.51,5166.29,176.85000000000002,56262.37
2021-08-30,2021,242,8,21,57194.96000000001,4722.9,0.0,52472.060000000005
2021-08-30,2021,242,8,22,52953.169999999984,4482.030000000001,0.0,48471.139999999985
2021-08-30,2021,242,8,23,49557.429999999986,4166.92,0.0,45390.50999999999
