unit,bus,fuel_type,p_min_mw,p_max_mw,variable_cost,startup_cost,shutdown_cost,no_load_cost,ramp_up_mw,ramp_down_mw,min_up_hours,min_down_hours,initial_status
G1,107,Nuclear,729.0,2430.0,17.44,1200.0,0.0,0.0,7290.0,7290.0,8,8,1
G2,100,Natural Gas,91.38,304.6,27.85,69.0,0.0,597.0,4104.0,4104.0,2,2,0
G3,100,Natural Gas,70.8,236.0,55.0,61.0,0.0,363.0,648.0,648.0,2,2,0
G4,100,Natural Gas,52.92,176.4,48.13,46.0,0.0,548.0,2691.6,2691.6,2,2,0
G5,100,Natural Gas,114.21,380.7,34.22,37.0,0.0,316.0,4605.6,4605.6,2,2,0
G6,100,Coal,252.75,842.5,19.17,310.0,0.0,1372.0,3080.4,3080.4,4,4,1
G7,100,Natural Gas,53.19,177.3,44.78,59.0,0.0,49.0,2517.0,2517.0,2,2,0
G8,100,Natural Gas,114.54,381.8,32.86,62.0,0.0,435.0,4983.0,4983.0,2,2,0
G10,62,Natural Gas,27.81,92.7,23.64,61.0,0.0,340.0,1086.0,1086.0,2,2,0
G11,62,Natural Gas,203.43,678.1,53.29,69.0,0.0,2129.0,10640.4,10640.4,2,2,0
G12,62,Natural Gas,78.0,260.0,33.14,12.0,0.0,413.0,3801.0,3801.0,2,2,0
G13,62,Natural Gas,149.37,497.9,37.48,70.0,0.0,3108.0,1252.2,1252.2,2,2,0
G14,110,Natural Gas,6.6,22.0,23.97,12.0,0.0,505.0,211.2,211.2,2,2,0
G15,110,Natural Gas,15.03,50.1,43.86,44.0,0.0,122.0,462.0,462.0,2,2,0
G16,110,Natural Gas,60.96,203.2,47.13,76.0,0.0,322.0,3237.0,3237.0,2,2,0
G18,32,Natural Gas,129.6,432.0,50.76,75.0,0.0,3088.0,1746.6,1746.6,2,2,0
G25,100,Natural Gas,274.38,914.6,29.22,38.0,0.0,2010.0,14563.8,14563.8,2,2,0
G26,100,Coal,459.0,1530.0,18.93,360.0,0.0,1862.0,2434.2,2434.2,4,4,1
G27,100,Natural Gas,160.65,535.5,47.62,58.0,0.0,3361.0,1863.0,1863.0,2,2,0
G28,100,Natural Gas,7.71,25.7,53.12,33.0,0.0,272.0,159.60000000000002,159.60000000000002,2,2,0
G44,17,Natural Gas,32.4,108.0,46.16,35.0,0.0,558.0,1160.4,1160.4,2,2,0
G45,61,Natural Gas,16.47,54.9,29.31,14.0,0.0,226.0,708.0,708.0,2,2,0
G47,61,Natural Gas,18.0,60.0,44.67,44.0,0.0,13.0,389.40000000000003,389.40000000000003,2,2,0
G48,61,Natural Gas,13.2,44.0,23.67,35.0,0.0,295.0,726.5999999999999,726.5999999999999,2,2,0
G49,79,Natural Gas,191.7,639.0,28.35,7.0,0.0,1971.0,8652.0,8652.0,2,2,0
G50,79,Natural Gas,178.5,595.0,42.77,45.0,0.0,2753.0,4332.599999999999,4332.599999999999,2,2,0
G51,91,Natural Gas,72.6,242.0,54.04,59.0,0.0,235.0,2785.8,2785.8,2,2,0
G54,59,Natural Gas,345.84,1152.8,52.29,46.0,0.0,1817.0,3174.0,3174.0,2,2,0
G60,71,Natural Gas,60.48,201.6,56.05,16.0,0.0,447.0,1678.1999999999998,1678.1999999999998,2,2,0
G61,71,Natural Gas,60.3,201.0,43.19,55.0,0.0,166.0,2715.0,2715.0,2,2,0
G62,71,Natural Gas,84.96,283.2,42.47,25.0,0.0,456.0,3547.8,3547.8,2,2,0
G66,112,Natural Gas,7.47,24.9,51.31,61.0,0.0,311.0,121.2,121.2,2,2,0
G70,57,Natural Gas,57.33,191.1,52.38,41.0,0.0,27.0,1218.6,1218.6,2,2,0
G71,57,Natural Gas,258.3,861.0,29.8,32.0,0.0,3313.0,8877.6,8877.6,2,2,0
G72,57,Natural Gas,135.0,450.0,26.91,75.0,0.0,831.0,3243.0,3243.0,2,2,0
G73,57,Natural Gas,16.8,56.0,37.37,66.0,0.0,306.0,640.8,640.8,2,2,0
G75,98,Natural Gas,34.2,114.0,23.71,35.0,0.0,447.0,1182.0,1182.0,2,2,0
G76,44,Natural Gas,136.05,453.5,33.75,59.0,0.0,715.0,8056.8,8056.8,2,2,0
G85,91,Natural Gas,50.4,168.0,33.52,77.0,0.0,18.0,1378.1999999999998,1378.1999999999998,2,2,0
G93,111,Nuclear,812.58,2708.6,17.44,1200.0,0.0,0.0,8125.8,8125.8,8,8,1
G94,91,Natural Gas,18.93,63.1,41.06,71.0,0.0,219.0,403.2,403.2,2,2,0
G98,19,Natural Gas,45.0,150.0,23.41,55.0,0.0,85.0,426.0,426.0,2,2,0
G100,36,Natural Gas,185.61,618.7,56.75,7.0,0.0,889.0,3160.2000000000003,3160.2000000000003,2,2,0
