scenario,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
scenario_1018,39221.89761788239,45271.72594204895,38353.45064065065,35266.34052611983,35173.63675854386,37477.31763440186,49864.55522318548,42496.526540807856,44723.50794720003,56323.15025621784,60172.94510901755,63561.66647210825,60633.788072839845,57384.46464979,59933.676606473935,70985.54790265777,58269.2811726503,62547.41904700614,47157.83704895003,54748.81744946756,53363.5891060434,56204.93707930582,49498.61815372685,43796.93695147152
scenario_6247,41749.14605250357,39342.65050861959,29885.93935022291,46206.22499465663,45157.25212086922,42505.863687437115,37686.60319970046,43610.40805039837,48539.60886934596,49124.08656801038,58986.07270937478,65794.94250768429,57201.555451486114,63031.02159664861,65587.04867832111,56704.68877924654,63511.00903218641,57356.76859125118,63992.05626608783,59053.5076196297,57529.3384205317,56641.52487345605,48745.317645739,41443.09926600459
scenario_5834,44151.44866843996,47479.05376129232,33959.527283018026,33276.669559229944,43406.23723636153,48553.20737153678,48645.89236223782,46923.833764564915,44264.86585582423,55100.30070621193,51080.93083667195,62753.93639889224,64351.43768756732,65637.2804888364,54640.95921182606,71858.38072219919,67902.43507646097,60744.67698464341,61876.38440838141,67207.03951039247,65212.90259295108,54400.135672783006,48746.55845768664,44262.12733526189
scenario_5043,50356.774361182936,39889.59697156874,36320.56071494997,48131.00660673853,34093.43719410082,42810.95944439432,45720.05232190383,39931.3123366055,50572.03946403535,59059.310641290445,49572.9136247641,66203.49871451674,61956.82950076667,57478.03584467964,61666.03972773159,60137.51399412484,70087.42835505599,57376.85078816605,65263.66526527726,65642.63196006128,61630.51580474731,57798.788398356046,48741.248803734285,49181.86225882449
scenario_2640,32353.899370441883,39788.11473981016,39258.92241596973,40279.5601986605,41607.61030761514,35605.55319211091,42932.41719816185,44426.43006999298,36574.80335878368,47052.29736844372,65361.68076103211,54165.85945930425,64215.63632803781,53970.73824815088,66877.33171328445,65002.18235760726,58027.085739403425,59023.61770341634,61740.62897558408,49953.5783339964,58687.037723402536,57695.01043572062,47108.422341073136,37820.14174103422
scenario_0484,45780.29211011381,31674.45160245495,40960.21400328559,40019.94579834829,39160.52249879294,41663.21906408836,45432.54491325246,45890.18040404212,50033.97476835782,55914.393020422765,47310.889993591416,61574.7757833078,63924.610025361326,63540.45488004739,69424.37404212604,69299.61196129955,62683.2088069069,70650.38428166059,38210.977265079055,53142.51023369025,50464.762409588984,56846.02874120525,48347.85927448023,49710.96545769156
scenario_0513,41530.72280791293,39391.42150219403,32399.582078945703,45025.12322922588,44439.81860217083,43089.89561018921,48075.39760301747,50711.62328977235,39572.84168174053,45494.98364591836,60361.01061393869,61948.32907646948,56751.67381219173,69969.17232198532,64364.087617518155,67318.81414687824,49521.90508185305,59982.8297655457,61260.4122830428,65303.616786272774,54845.09840960432,60778.494963791265,48574.435289110035,42449.9831309613
scenario_6727,41883.78583370189,42370.01020519285,41817.03749756036,44371.22253323411,42206.61772705399,34927.95376583595,47153.918774724865,41964.152229707266,52809.30249797237,48910.68217662768,57051.57745917038,58021.73602210842,56362.79747309885,60335.015149703395,65785.1787336781,66618.34998926148,63443.57208847209,65140.10360496801,53985.17760393577,58672.84854433748,60593.61620623888,47159.977148778446,50113.19579152051,45761.62599028614
scenario_3750,50286.006301855225,41060.41592824216,36533.03134400336,43881.49217095104,44851.46747501488,42186.413899973144,50838.84930229618,47181.13585407328,42112.60769751965,58523.32251639446,47097.96783290161,59703.15084501677,64425.0515543255,63026.22021822482,71536.00669446225,67668.62528952624,60701.02385653891,69395.60908491116,38428.82042276016,54348.92514866675,58674.78013535924,61611.96008215845,44778.75550056799,41865.82620462487
scenario_0482,41782.31580335877,40913.05827647932,43197.71657480345,41633.41345531467,42618.76726429918,50407.54331281187,45400.46333764632,43239.51532105583,49120.0116408118,53287.69932902627,53921.12464544232,55989.42199991929,60962.63567626897,74720.3131686032,71059.39894793979,67475.63996820377,63587.36579258441,69588.30985696946,43473.65744939906,51508.17821921631,61930.01735816027,51152.68072501351,48925.49190523698,45921.69665683876
scenario_5586,43109.86840570143,48883.422499558226,36870.381049515825,30573.93223003282,42195.93359636923,32870.813383594366,45839.71833153035,44922.94028691289,49617.2908194899,38009.35711054787,56956.59288744131,59984.267167739854,62058.108666578766,50502.757218617066,55358.58056529828,57743.69501024019,61111.894263885326,68982.2656477849,49314.09042619837,57242.56924936159,53559.273772307606,55265.93702069505,52000.70789378946,50139.33193508931
scenario_1917,45956.409106801744,40011.249444426736,39335.41881306398,41042.416516071215,38204.72091991401,45298.59271435698,44909.58038733172,35657.64484197679,53905.39688958896,57451.91340366228,50751.48981712237,59899.18354154677,57382.68183996182,64594.03348562331,65947.84719815652,59857.86749656876,60519.959866949845,58075.80677984117,61493.69770713312,58120.06808532701,51236.98047993724,59022.03082729455,41970.44275072162,44811.02771312561
