S,k_critical,k_cover,K,objective,gap_pct,under_rep_pct,t_milp_s,t_online_s,t_exact_eval_s
500,30,20,49,28827368.879554056,0.6444638055025784,-16.773668456924266,113.21219611167908,120.86439752578735,392.5786988735199
500,45,30,73,28788992.946055036,0.5104826133174039,-15.80152404307892,190.1004741191864,197.7052736282349,492.0547080039978
500,60,40,96,28778897.935982663,0.4752380899587105,-14.902894436702104,275.149719953537,282.685156583786,394.1860420703888
500,90,60,143,28757907.786356542,0.4019555658704111,-12.97773438095473,558.1410531997681,565.7406179904938,394.3119111061096
500,120,80,186,28729180.880359903,0.3016618462839026,-11.294917410770848,961.1779100894928,968.7461676597596,394.15395402908325
1000,30,20,49,28875703.99465142,1.0015137113279176,-18.842001061849796,96.94675993919373,112.72213411331175,780.7987740039825
1000,45,30,74,28916661.987101577,1.144776685515818,-18.189468677054972,176.122887134552,191.908837556839,774.3679909706116
1000,60,40,98,28833998.33232466,0.8556355354705882,-16.770764701895423,287.1895639896393,303.16726326942444,780.6613969802856
1000,90,60,146,28793578.585584596,0.7142552385492971,-15.411547981391164,615.8436548709869,631.7393329143524,780.9260210990906
1000,120,80,191,28761702.045083795,0.6027573909796686,-14.34852644257844,965.800183057785,981.6214952468872,785.3879759311676
2500,30,20,50,29073623.20169916,1.786396190153841,-17.753290251856942,160.50035190582275,171.15411901474,1928.3602449893951
2500,45,30,75,29008323.81009776,1.5577838256609453,-18.054199314491544,183.94527101516724,194.4171543121338,1938.4615969657896
2500,60,40,100,28952707.844002455,1.363073014414546,-17.49047565277436,369.3169178962707,379.8626537322998,1941.0000069141388
2500,90,60,147,28931323.77163098,1.288207640826203,-15.872285576758976,610.9190537929535,621.4897139072418,1947.798926115036
2500,120,80,198,28872480.810360856,1.0821991592795122,-15.738232861900206,1072.4822137355804,1082.8729755878448,1907.2604019641876
