kernel,seed,r2_holdout,spearman_allS,top90_overlap,top148_overlap,t_fit_s
matern52_ard,7,0.9986180924011954,0.9917712317712316,0.9888888888888888,0.9864864864864864,9.990655183792114
matern32_ard,7,0.9987151777770218,0.992096216096216,0.9888888888888888,0.9864864864864864,8.078321933746338
matern12_ard,7,0.9978874135826848,0.9936068736068736,0.9888888888888888,0.9797297297297296,8.172377109527588
rbf_ard,7,0.9983090586515592,0.9915116835116836,0.9888888888888888,0.9864864864864864,6.996256113052368
matern52_iso,7,0.9959114029446194,0.9863676623676624,0.9777777777777776,0.9797297297297296,0.7287590503692627
matern52_ard,17,0.9986716129085764,0.992974724974725,0.9888888888888888,0.9797297297297296,1.5724382400512695
matern32_ard,17,0.9985489416678682,0.9936896976896976,1.0,0.9864864864864864,1.93829607963562
matern12_ard,17,0.99798492388543,0.9922283842283844,1.0,0.9797297297297296,1.2505247592926023
rbf_ard,17,0.9988605612291284,0.9922465162465164,0.9888888888888888,0.9797297297297296,0.8878452777862549
matern52_iso,17,0.9950702303812928,0.9881971481971484,0.9666666666666668,0.9864864864864864,0.4805672168731689
matern52_ard,27,0.993753812182336,0.9926251766251766,0.9777777777777776,0.9864864864864864,6.642138957977295
matern32_ard,27,0.9946746543151525,0.9887286407286406,0.9888888888888888,0.9864864864864864,5.682068109512329
matern12_ard,27,0.9933769363873214,0.9923118683118682,1.0,0.9797297297297296,4.204574823379517
rbf_ard,27,0.9937091492078608,0.991001167001167,0.9777777777777776,0.9864864864864864,4.821285724639893
matern52_iso,27,0.9904746937837887,0.9757080637080637,0.9666666666666667,0.9797297297297297,0.4055030345916748
