scenario,dispatch_cost,ens_mwh,spill_mwh,ens_hours,total_net_load_mwh,total_cost_with_fixed
scenario_6782,1327795463.449972,130724.59488332545,0.0,17,960630.9687606647,1330632808.449972
scenario_1354,1324717323.611541,130488.64268219325,4863.022387936802,14,924063.5444053404,1327554668.611541
scenario_3257,994646620.474558,97508.16706473005,0.0,15,896388.7703199035,997483965.474558
scenario_1885,12197399.503204126,0.0,32338.78322963963,0,481098.82344902225,15034744.503204126
scenario_3665,571074675.6157616,55286.353831077846,13952.511229990534,9,779977.8661201702,573912020.6157616
scenario_0442,925453025.5868716,90766.37099452967,13243.523857283306,12,808612.2912281728,928290370.5868716
scenario_5899,109631858.80411303,9364.644600283877,21077.032667742344,3,645567.3902694475,112469203.80411303
scenario_3052,144331274.84938923,12863.105811018064,11280.12317861514,4,652878.0903338465,147168619.84938923
scenario_4036,51419644.331193425,3807.5778134035845,99257.26127053304,1,452275.3672731999,54256989.331193425
scenario_3956,132640797.83612083,11894.936291332298,44039.586176830984,2,544304.8128649896,135478142.83612084
scenario_2083,556471645.3522158,53697.72323526391,9570.093962983705,9,831647.3051973145,559308990.3522158
scenario_3358,2277502093.217225,225614.8575260142,0.0,22,1083490.528061807,2280339438.217225
scenario_1743,936305142.6723434,91898.39639758761,62469.44967562763,10,723767.0903978371,939142487.6723434
scenario_2157,471635562.5935771,45653.81774516527,31476.97430951107,8,641749.9049580931,474472907.5935771
scenario_2947,295345030.2014443,27738.816805308375,19800.1,9,744054.8563115438,298182375.2014443
scenario_6746,1338116084.603521,131778.16811495757,0.0,17,953038.2877532347,1340953429.603521
scenario_2678,51876775.777359284,3596.654143694388,26694.85925434426,3,630227.5332221562,54714120.777359284
scenario_2677,79240527.72111136,6585.476800858591,58023.37594513377,1,507793.21272300626,82077872.72111136
scenario_3032,392287790.8258662,37407.34393171501,1237.8310838669158,7,781016.2346665064,395125135.8258662
scenario_2559,1284668672.601708,126366.3051278892,0.0,17,973365.7543109505,1287506017.601708
scenario_2442,1737578257.6621382,171651.2656457706,0.0,19,1019465.4975779032,1740415602.6621382
scenario_3622,216234289.9507429,20014.828225851008,4769.7636345235105,5,689784.3096392725,219071634.9507429
scenario_5789,67686964.18388166,5281.221248489856,76906.44984103761,1,539793.9591818596,70524309.18388166
scenario_6524,89516533.05700822,7387.912647803709,14924.260307236162,3,645936.6862956138,92353878.05700822
scenario_0563,2662669373.0692463,264122.22140412574,0.0,24,1125239.9214041252,2665506718.0692463
scenario_4589,62181476.73171365,5014.994246460997,95085.59677384887,2,411214.7106408796,65018821.73171365
scenario_6687,406711599.5613763,38798.3977026855,9123.448505742894,8,791860.4909030228,409548944.5613763
scenario_0749,209887673.4133589,19154.041832322815,14407.850161980356,8,753378.1604207242,212725018.4133589
scenario_6836,12054891.087443935,0.0,95329.96937661631,0,402570.4647462646,14892236.087443935
scenario_4865,323867983.3232843,30605.49415963071,18630.279245273457,8,736842.7694348795,326705328.3232843
scenario_7337,1917794829.6448572,189650.46453186194,0.0,21,1044906.8747762083,1920632174.6448572
scenario_3321,799067661.5992188,77949.693684463,0.0,13,868643.1860722946,801905006.5992188
scenario_2125,1556308851.4296227,153529.0353921467,0.0,21,998216.9777118159,1559146196.4296227
scenario_3010,1744406311.8288507,172377.10477243393,0.0,17,1006194.2138648146,1747243656.8288507
scenario_4031,93021531.73639186,7655.812913486154,10623.612622697798,5,679643.0525395677,95858876.73639186
scenario_7034,1779124204.3247826,175859.28179860718,0.0,18,1002135.4333034831,1781961549.3247826
scenario_4144,64255871.00777548,4771.321592690174,5428.412442107935,2,681373.4981303329,67093216.00777548
scenario_5941,1049635668.1207732,102993.20861309333,0.0,14,906228.9402815499,1052473013.1207732
scenario_0269,391969042.19390404,37280.14833499215,0.0,12,816819.9731510112,394806387.19390404
scenario_4665,10846032.572335498,0.0,157056.1239020984,0,290413.52042923163,13683377.572335498
scenario_1153,12484130.733770788,0.0,55399.77821482893,0,466225.6176944148,15321475.733770788
scenario_2290,1748935773.6718373,172800.40088115697,0.0,19,1017538.450631297,1751773118.6718373
scenario_5090,208491716.43079814,19574.015729062066,70312.19100380129,4,484081.13734889973,211329061.43079814
scenario_4694,4393573048.34978,437219.1613861756,0.0,24,1296258.3613861757,4396410393.34978
scenario_6986,512398737.93577266,49450.19806748344,5405.960774715435,7,781370.0799013202,515236082.93577266
scenario_6398,831306204.7016114,81104.75392087917,2252.7399561868183,15,897677.6926461325,834143549.7016114
scenario_1132,110056654.15414645,9470.342029571812,41102.12454816015,1,604421.3579966398,112893999.15414645
scenario_1764,306010003.0205364,28776.493217652693,6116.655734117187,6,769236.1538023308,308847348.0205364
scenario_1481,10435717.050391383,0.0,262562.0346631671,0,162642.90512955975,13273062.050391383
scenario_2615,2889568535.3345547,286811.60229565616,0.0,24,1148151.8022956555,2892405880.3345547
scenario_0785,34837167.61994361,2063.934025264007,67474.71036087976,1,522122.18835662684,37674512.61994361
scenario_5788,1999582189.0717854,197830.32780330165,0.0,22,1052984.3312806757,2002419534.0717854
scenario_5556,1505963552.0850196,148625.9813702697,19657.456361069584,16,919916.4626277606,1508800897.0850196
scenario_3641,11878185.185653985,0.0,107582.45692642781,0,384573.2189838361,14715530.185653985
scenario_0995,1462912667.749064,144201.08523598703,273.4131771966595,21,984463.6347103916,1465750012.749064
scenario_2355,12392336.315691184,0.0,54423.00703117607,0,464986.03571237135,15229681.315691184
scenario_4639,639948691.5533295,62146.82826888878,5125.453444688111,9,818561.1248205975,642786036.5533295
scenario_6560,20288148.753690384,672.5995408685967,31245.97307881029,1,541230.529930603,23125493.753690384
scenario_3143,19251712.439976096,708.9794221464608,93652.62291000162,1,409430.71203532664,22089057.439976096
scenario_4138,436556706.85814697,41846.43658532093,55710.61947706883,10,713734.3259866816,439394051.85814697
scenario_7032,547521836.2441405,52918.724873235056,26708.307399372763,10,767648.7446842977,550359181.2441405
scenario_2340,2740248831.262463,271893.61874044733,0.0,24,1128541.818740447,2743086176.262463
scenario_1190,1218740635.404996,119856.88931931592,1078.3466765277144,16,930310.0273440734,1221577980.404996
scenario_5747,11980899.576588338,0.0,111911.97339689486,0,387714.1389532839,14818244.576588338
scenario_6015,1173197241.8245082,115282.08807821303,0.0,16,941872.9311742084,1176034586.8245082
scenario_6018,642128824.6070186,62236.19579064806,2657.178100007009,14,859299.0920465632,644966169.6070186
