scenario,dispatch_cost,ens_mwh,spill_mwh,ens_hours,total_net_load_mwh,total_cost_with_fixed
scenario_6782,25606861.589006692,0.0,1552.7158747467345,0,960630.9687606647,30101426.589006692
scenario_1354,25623165.437269,0.0,22333.698349309117,0,924063.5444053404,30117730.437269
scenario_3257,23416872.7368803,0.0,0.0,0,896388.7703199035,27911437.7368803
scenario_1885,15691240.952069245,0.0,102980.09831175467,0,481098.82344902225,20185805.952069245
scenario_3665,21907769.71636054,0.0,43201.95894392532,0,779977.8661201702,26402334.71636054
scenario_0442,22076038.68726497,0.0,28146.034376433217,0,808612.2912281728,26570603.68726497
scenario_5899,18679393.638396196,0.0,61518.22650710992,0,645567.3902694475,23173958.638396196
scenario_3052,18151307.226600938,0.0,39862.36052776721,0,652878.0903338465,22645872.226600938
scenario_4036,17151645.5714204,0.0,185943.93955912432,0,452275.3672731999,21646210.5714204
scenario_3956,16687379.069100864,0.0,83205.4517983675,0,544304.8128649896,21181944.069100864
scenario_2083,22572168.544894103,0.0,27146.73289794659,0,831647.3051973145,27066733.544894103
scenario_3358,29371175.808715824,0.0,0.0,0,1083490.528061807,33865740.80871582
scenario_1743,23044154.219515655,0.0,122931.64967562763,0,723767.0903978371,27538719.219515655
scenario_2157,18691779.957348388,0.0,65188.56531042363,0,641749.9049580931,23186344.957348388
scenario_2947,20485762.89987468,0.0,36970.21969171675,0,744054.8563115438,24980327.89987468
scenario_6746,25644205.55019411,0.0,1551.4244511549825,0,953038.2877532347,30138770.55019411
scenario_2678,18532657.21813905,0.0,70591.88570220665,0,630227.5332221562,23027222.21813905
scenario_2677,16870005.60718807,0.0,125241.59858968588,0,507793.21272300626,21364570.60718807
scenario_3032,21088040.808236886,0.0,20566.97673230388,0,781016.2346665064,25582605.808236886
scenario_2559,25607330.20745599,0.0,0.0,0,973365.7543109505,30101895.20745599
scenario_2442,27362676.53540936,0.0,0.0,0,1019465.4975779032,31857241.53540936
scenario_3622,18403918.11894896,0.0,16565.719762479133,0,689784.3096392725,22898483.11894896
scenario_5789,17992235.90479971,0.0,137596.14912443227,0,539793.9591818596,22486800.90479971
scenario_6524,18049728.954402912,0.0,44550.561900547036,0,645936.6862956138,22544293.954402912
scenario_0563,30402660.600173857,0.0,0.0,0,1125239.9214041252,34897225.60017386
scenario_4589,15863781.339804195,0.0,174633.70829845936,0,411214.7106408796,20358346.339804195
scenario_6687,21658747.305537965,0.0,31842.233685877654,0,791860.4909030228,26153312.305537965
scenario_0749,20524665.098869033,0.0,31762.54417133831,0,753378.1604207242,25019230.098869033
scenario_6836,16127856.127358045,0.0,194330.30858244846,0,402570.4647462646,20622421.127358045
scenario_4865,20864217.800285183,0.0,47746.53507143741,0,736842.7694348795,25358782.800285183
scenario_7337,28066966.18936932,0.0,3242.7247074784086,0,1044906.8747762083,32561531.18936932
scenario_3321,23469287.197518006,0.0,15334.000727340377,0,868643.1860722946,27963852.197518006
scenario_2125,26657030.919368505,0.0,3873.3520119262125,0,998216.9777118159,31151595.919368505
scenario_3010,26889016.127895318,0.0,0.0,0,1006194.2138648146,31383581.127895318
scenario_4031,18641642.984881252,0.0,30227.505032927707,0,679643.0525395677,23136207.984881252
scenario_7034,27217970.958160404,0.0,7451.677901012257,0,1002135.4333034831,31712535.958160404
scenario_4144,18590630.34824302,0.0,29918.02660356815,0,681373.4981303329,23085195.34824302
scenario_5941,23864998.122722097,0.0,1012.0281071871217,0,906228.9402815499,28359563.122722097
scenario_0269,21623565.539137576,0.0,5001.520208115101,0,816819.9731510112,26118130.539137576
scenario_4665,15327402.67359046,0.0,267912.34330532135,0,290413.52042923163,19821967.67359046
scenario_1153,16050189.037691293,0.0,130803.21433152205,0,466225.6176944148,20544754.037691295
scenario_2290,27125547.09051916,0.0,0.0,0,1017538.450631297,31620112.09051916
scenario_5090,16314181.658031233,0.0,124923.54909080283,0,484081.13734889973,20808746.658031233
scenario_4694,118203021.62787287,8126.329439905063,0.0,5,1296258.3613861757,122697586.62787287
scenario_6986,20998826.022781108,0.0,24397.53029984468,0,781370.0799013202,25493391.022781108
scenario_6398,23878059.782989353,0.0,7552.736333415603,0,897677.6926461325,28372624.782989353
scenario_1132,18304589.05268976,0.0,91122.06163900452,0,604421.3579966398,22799154.05268976
scenario_1764,20636437.074264087,0.0,20634.695817110318,0,769236.1538023308,25131002.074264087
scenario_1481,15321525.20487029,0.0,388987.59487044025,0,162642.90512955975,19816090.20487029
scenario_2615,31193059.679806292,0.0,0.0,0,1148151.8022956555,35687624.67980629
scenario_0785,17474919.395083033,0.0,136330.72638421238,0,522122.18835662684,21969484.395083033
scenario_5788,28222509.881719608,0.0,0.0,0,1052984.3312806757,32717074.881719608
scenario_5556,26118430.35460355,0.0,45332.52065578254,0,919916.4626277606,30612995.35460355
scenario_3641,15899222.159340458,0.0,204275.99533227395,0,384573.2189838361,20393787.159340456
scenario_0995,26350003.83179722,0.0,5088.313177196657,0,984463.6347103916,30844568.83179722
scenario_2355,15954575.95920124,0.0,129169.13215433953,0,464986.03571237135,20449140.95920124
scenario_4639,21536779.28053322,0.0,9539.131150837178,0,818561.1248205975,26031344.28053322
scenario_6560,16214105.116825365,0.0,68823.80766194349,0,541230.529930603,20708670.116825365
scenario_3143,16014515.042937357,0.0,181515.51797515733,0,409430.71203532664,20509080.042937357
scenario_4138,21755028.477390546,0.0,103209.70858447808,0,713734.3259866816,26249593.477390546
scenario_7032,21905343.554503348,0.0,54865.15421190722,0,767648.7446842977,26399908.554503348
scenario_2340,30562273.182039104,0.0,0.0,0,1128541.818740447,35056838.182039104
scenario_1190,25194827.632951558,0.0,11101.2531300428,0,930310.0273440734,29689392.632951558
scenario_5747,15740089.699862909,0.0,196371.46658176545,0,387714.1389532839,20234654.69986291
scenario_6015,24651396.3143722,0.0,421.5841409557157,0,941872.9311742084,29145961.3143722
scenario_6018,22963072.889542595,0.0,14791.051288633234,0,859299.0920465632,27457637.889542595
scenario_2915,32266926.77767009,0.0,0.0,0,1174487.69196541,36761491.777670085
scenario_5244,16630501.15482223,0.0,148515.23227908494,0,472311.13924348715,21125066.15482223
scenario_2741,20754941.567924798,0.0,19358.918580697067,0,774488.6129656383,25249506.567924798
scenario_1496,15275273.136878364,0.0,141394.264972518,0,420379.28440966236,19769838.136878364
scenario_6673,16524265.478159852,0.0,165965.26024942446,0,448677.59824263735,21018830.478159852
scenario_4642,21177105.203384835,0.0,11544.185970533123,0,799653.925950421,25671670.203384835
scenario_7210,24600276.794011753,0.0,0.0,0,933785.1333913436,29094841.794011753
scenario_0691,16129219.083656142,0.0,192192.7501327047,0,403537.4674421651,20623784.08365614
scenario_2730,27959462.55659359,0.0,0.0,0,1052024.4871692522,32454027.55659359
scenario_1488,23431187.247429483,0.0,1964.3095713594123,0,891283.7271077256,27925752.247429483
scenario_4245,15684321.497750929,0.0,167269.07328468267,0,413070.2703757039,20178886.49775093
scenario_0465,17101106.590077013,0.0,39544.740741533664,0,610961.4022738587,21595671.590077013
scenario_3811,24266341.47893272,0.0,18868.432457106886,0,894660.5340775567,28760906.47893272
scenario_5844,30400903.50838264,0.0,0.0,0,1122763.4095943915,34895468.50838264
scenario_5824,16524032.31554467,0.0,80128.08322675366,0,542044.1018865653,21018597.315544672
scenario_1968,72005535.01034686,3809.938474687585,0.0,2,1207828.1388316501,76500100.01034686
scenario_6199,46288142.041186005,1214.628818351734,0.0,3,1217513.0714007008,50782707.041186005
scenario_3314,24426458.57546789,0.0,0.0,0,932540.8865501789,28921023.57546789
scenario_0583,24985389.999309752,0.0,7194.997220370602,0,943709.3068551505,29479954.999309752
