scenario,dispatch_cost,ens_mwh,spill_mwh,ens_hours,total_net_load_mwh,total_cost_with_fixed
scenario_6782,25809389.887236476,0.0,10258.759807023687,0,960630.9687606647,30928760.887236476
scenario_1354,26032420.75625271,0.0,41376.27405126071,0,924063.5444053404,31151791.75625271
scenario_3257,23665607.47913707,0.0,4910.08861448055,0,896388.7703199035,28784978.47913707
scenario_1885,17434136.53990344,0.0,155042.51992088713,0,481098.82344902225,22553507.53990344
scenario_3665,22671322.630807213,0.0,66817.9139320198,0,779977.8661201702,27790693.630807213
scenario_0442,22509156.83403436,0.0,40084.31577951415,0,808612.2912281728,27628527.83403436
scenario_5899,19896748.402754307,0.0,98601.89177008993,0,645567.3902694475,25016119.402754307
scenario_3052,19030327.204229884,0.0,57662.78521960762,0,652878.0903338465,24149698.204229884
scenario_4036,18549102.818679065,0.0,228273.971938689,0,452275.3672731999,23668473.818679065
scenario_3956,17973994.17609216,0.0,119081.16044905798,0,544304.8128649896,23093365.17609216
scenario_2083,23176479.965359174,0.0,45769.83232959833,0,831647.3051973145,28295850.965359174
scenario_3358,29084207.09935151,0.0,463.4585847512441,0,1083490.528061807,34203578.09935151
scenario_1743,24082978.55076729,0.0,159706.65321710383,0,723767.0903978371,29202349.55076729
scenario_2157,19744890.617070384,0.0,95644.41572663124,0,641749.9049580931,24864261.617070384
scenario_2947,21229025.41305162,0.0,56546.81969171675,0,744054.8563115438,26348396.41305162
scenario_6746,25897257.13814009,0.0,10549.946120874469,0,953038.2877532347,31016628.13814009
scenario_2678,19778993.146425884,0.0,108610.98570220663,0,630227.5332221562,24898364.146425884
scenario_2677,18238107.506886467,0.0,164205.32173678622,0,507793.21272300626,23357478.506886467
scenario_3032,21903479.33320612,0.0,44849.09872284068,0,781016.2346665064,27022850.33320612
scenario_2559,25536743.586214237,0.0,0.0,0,973365.7543109505,30656114.586214237
scenario_2442,27341379.074392743,0.0,2776.171507414919,0,1019465.4975779032,32460750.074392743
scenario_3622,19240286.395912576,0.0,32341.819262910343,0,689784.3096392725,24359657.395912576
scenario_5789,19238822.852329634,0.0,173236.34890643,0,539793.9591818596,24358193.852329634
scenario_6524,19019936.0356055,0.0,67803.41241870327,0,645936.6862956138,24139307.0356055
scenario_0563,29949744.41494574,0.0,0.0,0,1125239.9214041252,35069115.41494574
scenario_4589,17569502.632159933,0.0,227654.81078613023,0,411214.7106408796,22688873.632159933
scenario_6687,22292004.090594828,0.0,49469.29598174692,0,791860.4909030228,27411375.090594828
scenario_0749,21304962.948095817,0.0,53426.34417133832,0,753378.1604207242,26424333.948095817
scenario_6836,17903041.631066166,0.0,248636.9085824485,0,402570.4647462646,23022412.631066166
scenario_4865,21794360.5489638,0.0,78404.03515691748,0,736842.7694348795,26913731.5489638
scenario_7337,27971654.3285093,0.0,6791.924707478409,0,1044906.8747762083,33091025.3285093
scenario_3321,24036978.908373307,0.0,34187.43239787845,0,868643.1860722946,29156349.908373307
scenario_2125,26676033.642693438,0.0,8119.848558565702,0,998216.9777118159,31795404.642693438
scenario_3010,26892930.77104742,0.0,3808.5691385631867,0,1006194.2138648146,32012301.77104742
scenario_4031,19622727.704244062,0.0,55156.3674304125,0,679643.0525395677,24742098.704244062
scenario_7034,27253168.283871938,0.0,15018.877901012258,0,1002135.4333034831,32372539.283871938
scenario_4144,19384791.617061242,0.0,46971.12660356815,0,681373.4981303329,24504162.617061242
scenario_5941,24004826.44629238,0.0,3761.3361438415823,0,906228.9402815499,29124197.44629238
scenario_0269,22318333.048129417,0.0,23249.749542079033,0,816819.9731510112,27437704.048129417
scenario_4665,17311070.634565275,0.0,331039.4094929628,0,290413.52042923163,22430441.634565275
scenario_1153,17763112.638936374,0.0,183296.02093824768,0,466225.6176944148,22882483.638936374
scenario_2290,26985419.927042924,0.0,0.0,0,1017538.450631297,32104790.927042924
scenario_5090,17807747.19034078,0.0,168283.14956906802,0,484081.13734889973,22927118.19034078
scenario_4694,36009438.65282503,0.0,0.0,0,1296258.3613861757,41128809.65282503
scenario_6986,21529282.98607288,0.0,36516.99232033439,0,781370.0799013202,26648653.98607288
scenario_6398,24168003.74558793,0.0,14161.287154739206,0,897677.6926461325,29287374.74558793
scenario_1132,19399798.81442508,0.0,122509.8266565561,0,604421.3579966398,24519169.81442508
scenario_1764,21315582.580098834,0.0,37240.7151463408,0,769236.1538023308,26434953.580098834
scenario_1481,17393558.10587033,0.0,456451.79487044027,0,162642.90512955975,22512929.10587033
scenario_2615,30739355.591947813,0.0,0.0,0,1148151.8022956555,35858726.59194781
scenario_0785,18873011.206238277,0.0,176552.22638421232,0,522122.18835662684,23992382.206238277
scenario_5788,28030271.865993273,0.0,934.2117231419667,0,1052984.3312806757,33149642.865993273
scenario_5556,26559953.748391908,0.0,64766.17083145739,0,919916.4626277606,31679324.748391908
scenario_3641,17577841.011399943,0.0,254459.79533227396,0,384573.2189838361,22697212.011399943
scenario_0995,26413094.702729397,0.0,11663.86275841495,0,984463.6347103916,31532465.702729397
scenario_2355,17538128.096981063,0.0,175078.20745520265,0,464986.03571237135,22657499.096981063
