run,model,S,fixed_commitment_cost,expected_dispatch_cost,expected_total_cost,p95_total_cost,worst_total_cost,expected_ens_mwh,total_ens_mwh,ens_probability,expected_ens_hours,total_spill_mwh,unserved_energy_rate,n_evaluation_scenarios,no_load_cost,startup_cost,shutdown_cost,startup_count,committed_unit_hours,normalized_expected_cost,normalized_worst_cost
deterministic,deterministic,1,2837345.0,992225476.7163618,995062821.7163618,3083684636.828343,5560003606.820357,97424.8615602116,194849723.1204232,0.8785,11.069,50933808.844751075,0.12131155733411832,2000,2349700.0,487645.0,0.0,344,5021,1.0,1.0
full_S100,full,100,4494565.0,27047750.45175988,31542315.45175988,54247276.61707461,590896103.3185872,416.0612901980319,832122.5803960637,0.0915,0.237,105802084.34198493,0.0005180714886535596,2000,3606500.0,888065.0,0.0,485,7541,0.031698818168438087,0.1062762086329846
full_S200,full,200,4781947.0,24321971.360647913,29103918.360647913,37856969.44837912,307945132.3960232,109.20409067764389,218408.1813552878,0.0405,0.0865,123183225.45234999,0.00013597882609434091,2000,3813700.0,968247.0,0.0,530,7950,0.02924832254354274,0.055385779249904156
full_S500,full,500,4879436.0,23565783.720394254,28445219.720394254,36874058.09400314,78688136.79134999,10.383745424833362,20767.490849666727,0.0115,0.016,133321466.91499205,1.2929639398759084e-05,2000,3974600.0,904836.0,0.0,490,8277,0.0285863556547412,0.01415253340750079
full_S1000,full,1000,4838284.0,23556131.24285923,28394415.24285923,36886644.22996561,104832462.142292,14.933467993553775,29866.93598710755,0.0125,0.0195,131035817.11046538,1.8594866132579444e-05,2000,3951600.0,886684.0,0.0,483,8231,0.028535299101902264,0.01885474714687161
full_S2500,full,2500,4788046.0,23573065.66277656,28361111.66277656,36831134.10408666,148573314.45692745,20.82026363791051,41640.52727582102,0.0135,0.0245,128695455.2782104,2.59249904549349e-05,2000,3926000.0,862046.0,0.0,471,8176,0.0285018302802803,0.02672180181226415
pisasr_S100,pisasr,100,4510449.0,27081351.605297495,31591800.605297495,53915180.170161955,593359626.3784461,420.7380478934644,841476.0957869288,0.092,0.24,105807893.8533858,0.000523894897075409,2000,3618400.0,892049.0,0.0,493,7568,0.03174854885122278,0.10671928803258013
pisasr_S200,pisasr,200,4857573.0,24265787.629697226,29123360.629697226,37768772.62549817,303310265.9943279,108.15271972110288,216305.43944220577,0.041,0.0855,127524200.32154515,0.00013466967927050862,2000,3888200.0,969373.0,0.0,521,8106,0.02926786127881151,0.054552170725620144
pisasr_S500,pisasr,500,5119371.0,23543685.760353632,28663056.760353636,36867435.12945296,69685984.61170703,8.296880396956967,16593.760793913934,0.0095,0.013,145186832.31334758,1.0331115342131787e-05,2000,4165500.0,953871.0,0.0,518,8668,0.028805273531286563,0.012533442339178427
pisasr_S1000,pisasr,1000,5150434.0,23557855.22541389,28708289.22541389,36860439.983465746,72424335.96507876,7.95672791017121,15913.45582034242,0.0095,0.0115,148255999.11319876,9.907564030462223e-06,2000,4207600.0,942834.0,0.0,517,8750,0.02885073042513597,0.013025951255901546
pisasr_S2500,pisasr,2500,5080390.0,23683764.43720463,28764154.43720463,36671983.67576892,204220441.6763781,34.809878883637715,69619.75776727543,0.0135,0.028,147589591.19717696,4.3344589362093e-05,2000,4181200.0,899190.0,0.0,483,8691,0.028906872821949047,0.036730271438289094
