rank,explained,cum_explained
1,0.06615754071771225,0.06615754071771225
2,0.06416816759176931,0.13032570830948156
3,0.0617668462740124,0.19209255458349397
4,0.05913460253974279,0.25122715712323673
5,0.05793040949053605,0.3091575666137728
6,0.05602213630864989,0.3651797029224227
7,0.052759537075623426,0.4179392399980461
8,0.05059525653811438,0.46853449653616047
9,0.05012258089862294,0.5186570774347834
10,0.04742217547170399,0.5660792529064874
11,0.04152951250314144,0.6076087654096288
12,0.0393056056531746,0.6469143710628035
13,0.037544509260985806,0.6844588803237893
14,0.03676684066768013,0.7212257209914694
15,0.03469134655921565,0.7559170675506851
16,0.033212474924262436,0.7891295424749476
17,0.031218095995675963,0.8203476384706235
18,0.028943133634808476,0.849290772105432
19,0.027961113079286944,0.877251885184719
20,0.02615448286561081,0.9034063680503298
21,0.026101314804407073,0.9295076828547368
22,0.025072773207339947,0.9545804560620768
23,0.02342923402574552,0.9780096900878222
24,0.02199030991217773,1.0
