kernel,seed,r2_holdout,spearman_allS,top90_overlap,top148_overlap,t_fit_s
matern52_ard,7,0.5053254414325217,0.677944037944038,0.4333333333333333,0.5675675675675675,3.787342071533203
matern32_ard,7,0.230731230351628,0.6957419757419758,0.4555555555555555,0.5743243243243243,3.7420496940612793
matern12_ard,7,0.4180500809300788,0.7506667506667507,0.5111111111111111,0.6216216216216216,5.723044157028198
rbf_ard,7,0.3560817967999392,0.6564838284838285,0.4111111111111111,0.5405405405405406,4.288007974624634
matern52_iso,7,0.554291055346017,0.7502116862116862,0.5,0.6081081081081081,0.5537278652191162
matern52_ard,17,-0.0741110248533785,0.6515438915438916,0.3222222222222222,0.3851351351351351,1.4597020149230957
matern32_ard,17,-0.0375596816562313,0.6848176208176208,0.3666666666666666,0.4729729729729729,1.310755968093872
matern12_ard,17,0.1558191556215281,0.7228014508014509,0.4666666666666667,0.5202702702702703,1.2699089050292969
rbf_ard,17,-0.0822175799523967,0.6611136131136132,0.2888888888888888,0.3648648648648648,1.3765649795532229
matern52_iso,17,0.4006002209250523,0.7536154776154776,0.4222222222222222,0.5337837837837838,0.7561478614807129
matern52_ard,27,0.113894308454569,0.7679737439737441,0.4555555555555555,0.5608108108108109,2.4984920024871826
matern32_ard,27,0.0064707546761111,0.7697266217266218,0.4555555555555555,0.5540540540540541,2.3067421913146973
matern12_ard,27,0.3262188384079657,0.7682766722766723,0.4888888888888889,0.5608108108108109,3.088595151901245
rbf_ard,27,0.1154301478879338,0.767956463956464,0.4333333333333333,0.5608108108108109,1.732532978057861
matern52_iso,27,0.40868889421737886,0.775880263880264,0.4666666666666667,0.5608108108108109,0.616905927658081
