batch_size,m,objective,time_s,termination
200,0,38095432.56481093,125.66028881072998,optimal
200,1,38071249.297631845,206.6623048782349,optimal
200,2,38167172.80314871,181.34318208694455,optimal
200,3,37919916.69717072,204.7576060295105,optimal
200,4,38006718.644674204,179.1446988582611,optimal
500,0,38137070.370877385,264.1307866573334,optimal
500,1,38083451.157759085,247.52310585975647,optimal
500,2,38083814.11629726,273.4897129535675,optimal
500,3,38053715.02231578,290.56928730010986,optimal
500,4,38140146.46476146,240.2120659351349,optimal
