scenario,dispatch_cost,ens_mwh,spill_mwh,ens_hours,total_net_load_mwh,total_cost_with_fixed
scenario_6782,122005311.4199191,8752.904274048236,0.0,5,1236275.1122101783,124278687.4199191
scenario_1354,345304364.4320165,31223.83684894362,0.0,7,1219106.5277075418,347577740.4320165
scenario_3257,281432786.70503795,24570.918765238774,0.0,12,1282902.7813240879,283706162.70503795
scenario_1885,117467723.4860143,8415.267967323292,0.0,4,1208816.3139468082,119741099.4860143
scenario_3665,240549901.6600076,20694.02008966309,0.0,7,1212152.0492358757,242823277.6600076
scenario_0442,245128352.71474302,21168.5881569491,0.0,6,1219548.6309270528,247401728.71474302
scenario_5899,284108695.03118473,24907.83459445445,0.0,7,1264194.2928220648,286382071.03118473
scenario_3052,277144284.37329066,24269.79408110174,0.0,7,1250285.4592999304,279417660.37329066
scenario_4036,282196000.8340832,24941.59450081746,0.0,7,1210442.5864006244,284469376.8340832
scenario_3956,222147944.08349022,18744.37346725729,0.0,8,1250415.1722585445,224421320.08349022
scenario_2083,225895441.3016807,19181.70208104427,0.0,7,1233557.4016396797,228168817.3016807
scenario_3358,356482976.06061554,32279.84742657362,0.0,9,1233825.9310037422,358756352.06061554
scenario_1743,135970141.56957725,10178.281860500803,0.0,8,1230280.73799226,138243517.56957725
scenario_2157,132006392.4809426,9802.952285586915,0.0,6,1221110.1154043889,134279768.4809426
scenario_2947,559331213.0146004,52469.28682857078,0.0,12,1249027.9929577573,561604589.0146004
scenario_6746,184992777.01689637,15074.551085437939,0.0,6,1236302.9335718993,187266153.01689637
scenario_2678,294261279.6922561,25924.83727238533,0.0,7,1247451.2727297419,296534655.6922561
scenario_2677,279722668.08634067,24558.885222026987,0.0,13,1222998.4465038858,281996044.08634067
scenario_3032,298549425.5699229,26429.996016929617,0.0,11,1246302.5769877192,300822801.5699229
scenario_2559,167852608.71889073,13420.17310597256,0.0,7,1221907.7004367963,170125984.71889073
scenario_2442,230133970.8974508,19650.173974536698,0.0,7,1226903.246070436,232407346.8974508
scenario_3622,280890996.78639674,24674.09134586633,0.0,9,1235188.7628746792,283164372.78639674
scenario_5789,256891604.34275398,22395.102603196854,0.0,7,1211202.2203384715,259164980.34275398
scenario_6524,487261541.81463593,45182.62586283233,0.0,12,1261102.2427129317,489534917.81463593
scenario_0563,235185943.1052081,20039.95789159185,0.0,6,1257328.422773575,237459319.1052081
scenario_4589,170668977.28086552,13724.529912114267,0.0,8,1213526.2467678436,172942353.28086552
scenario_6687,169333866.1160889,13539.537913048172,0.0,5,1227676.804484581,171607242.1160889
scenario_0749,193615269.70215216,15946.610672289798,0.0,8,1231883.4987426535,195888645.70215216
scenario_6836,319882473.273805,28517.308329118234,0.0,10,1257742.17385232,322155849.273805
scenario_4865,263031897.42111328,22941.86551965219,0.0,8,1223264.6345940246,265305273.42111328
scenario_7337,152332272.20529568,11866.333969978235,0.0,4,1218241.4693649295,154605648.20529568
scenario_3321,275681781.6057678,24163.453084432374,0.0,8,1235564.2873338144,277955157.6057678
scenario_2125,308860478.78110355,27480.49699049916,0.0,9,1244824.8967983339,311133854.78110355
scenario_3010,109960846.90070431,7446.264063907379,0.0,6,1259731.0445161602,112234222.90070431
scenario_4031,202735391.95131826,16795.591380975704,0.0,5,1250091.3457235363,205008767.95131826
scenario_7034,144828810.37962988,10938.422495030729,0.0,7,1249226.953119283,147102186.37962988
scenario_4144,213023369.34667158,17910.224015853826,0.0,7,1229050.409913029,215296745.34667158
scenario_5941,479360741.99579835,44480.096094009656,0.0,10,1234835.475212229,481634117.99579835
scenario_0269,325029352.77348095,29287.127506652312,0.0,8,1192688.6287626843,327302728.77348095
scenario_4665,223552661.61788484,18834.768835424424,0.0,8,1263973.4121382032,225826037.61788484
