scenario,dispatch_cost,ens_mwh,spill_mwh,ens_hours,total_net_load_mwh,total_cost_with_fixed
scenario_6782,35316945.59531921,0.0,0.0,0,1236275.1122101783,37909064.59531921
scenario_1354,50973136.517566405,1607.3057883328634,0.0,1,1219106.5277075418,53565255.517566405
scenario_3257,37099163.45448189,0.0,0.0,0,1282902.7813240879,39691282.45448189
scenario_1885,34108793.714055434,0.0,0.0,0,1208816.3139468082,36700912.714055434
scenario_3665,34960398.34979955,0.0,0.0,0,1212152.0492358757,37552517.34979955
scenario_0442,34792470.4519865,0.0,0.0,0,1219548.6309270528,37384589.4519865
scenario_5899,36579897.59321442,0.0,0.0,0,1264194.2928220648,39172016.59321442
scenario_3052,35985707.81375508,0.0,0.0,0,1250285.4592999304,38577826.81375508
scenario_4036,34423926.75908151,0.0,0.0,0,1210442.5864006244,37016045.75908151
scenario_3956,35930037.556728326,0.0,0.0,0,1250415.1722585445,38522156.556728326
scenario_2083,35403071.077080555,0.0,0.0,0,1233557.4016396797,37995190.077080555
scenario_3358,44125714.06502231,860.8704613898581,0.0,1,1233825.9310037422,46717833.06502231
scenario_1743,35058396.7749253,0.0,0.0,0,1230280.73799226,37650515.7749253
scenario_2157,34857147.209716454,0.0,0.0,0,1221110.1154043889,37449266.209716454
scenario_2947,63849878.41871486,2655.931910292773,0.0,2,1249027.9929577573,66441997.41871486
scenario_6746,35328240.03752022,0.0,0.0,0,1236302.9335718993,37920359.03752022
scenario_2678,36597970.522125535,0.0,0.0,0,1247451.2727297419,39190089.522125535
scenario_2677,35589624.63798984,0.0,0.0,0,1222998.4465038858,38181743.63798984
scenario_3032,39952981.48210043,416.3479422788064,0.0,1,1246302.5769877192,42545100.48210043
scenario_2559,34634071.75006738,0.0,0.0,0,1221907.7004367963,37226190.75006738
scenario_2442,34978048.9171372,0.0,0.0,0,1226903.246070436,37570167.9171372
scenario_3622,35631266.564246856,0.0,0.0,0,1235188.7628746792,38223385.564246856
scenario_5789,34412728.01125822,0.0,0.0,0,1211202.2203384715,37004847.01125822
scenario_6524,37762453.78362299,0.0,0.0,0,1261102.2427129317,40354572.78362299
scenario_0563,37456079.752983965,141.34386001341454,0.0,1,1257328.422773575,40048198.752983965
scenario_4589,34492649.26196371,0.0,0.0,0,1213526.2467678436,37084768.26196371
scenario_6687,34944721.30906597,0.0,0.0,0,1227676.804484581,37536840.30906597
scenario_0749,35299918.76027692,0.0,0.0,0,1231883.4987426535,37892037.76027692
scenario_6836,36426942.5437455,0.0,0.0,0,1257742.17385232,39019061.5437455
scenario_4865,35080679.85187787,0.0,0.0,0,1223264.6345940246,37672798.85187787
scenario_7337,34698963.17690656,0.0,0.0,0,1218241.4693649295,37291082.17690656
scenario_3321,35593577.70725629,0.0,0.0,0,1235564.2873338144,38185696.70725629
scenario_2125,35689316.22837006,0.0,0.0,0,1244824.8967983339,38281435.22837006
scenario_3010,36205179.41566669,0.0,0.0,0,1259731.0445161602,38797298.41566669
scenario_4031,35959169.01521101,0.0,0.0,0,1250091.3457235363,38551288.01521101
scenario_7034,36259717.945710294,0.0,0.0,0,1249226.953119283,38851836.945710294
scenario_4144,35198146.97700499,0.0,0.0,0,1229050.409913029,37790265.97700499
scenario_5941,47924975.98901795,1099.7367334991436,0.0,1,1234835.475212229,50517094.98901795
scenario_0269,41241150.54431633,732.6203804145503,0.0,1,1192688.6287626843,43833269.54431633
scenario_4665,36440814.27733807,0.0,0.0,0,1263973.4121382032,39032933.27733807
scenario_1153,36854215.9555917,0.0,0.0,0,1270415.378550788,39446334.9555917
scenario_2290,35306187.487084016,0.0,0.0,0,1231019.4941564708,37898306.487084016
scenario_5090,35196729.50909677,0.0,0.0,0,1216990.3567758892,37788848.50909677
scenario_4694,36077310.16787406,0.0,0.0,0,1250681.265001176,38669429.16787406
scenario_6986,34500140.73477055,0.0,0.0,0,1213965.678866819,37092259.73477055
scenario_6398,35821984.11508547,0.0,0.0,0,1244585.6663388754,38414103.11508547
scenario_1132,35195341.02942641,0.0,0.0,0,1231192.7281765752,37787460.02942641
scenario_1764,34831714.137127124,0.0,0.0,0,1220743.1858865307,37423833.137127124
scenario_1481,36027949.07960364,0.0,0.0,0,1249445.1907796166,38620068.07960364
scenario_2615,34266780.95721674,0.0,0.0,0,1210061.4219140045,36858899.95721674
scenario_0785,34167631.130366236,0.0,0.0,0,1207087.7739187158,36759750.130366236
scenario_5788,59182457.16819028,2422.243625458592,0.0,1,1231562.854246556,61774576.16819028
scenario_5556,34378200.095396854,0.0,0.0,0,1209268.5949937662,36970319.095396854
scenario_3641,34545292.472108595,0.0,0.0,0,1211785.6623347974,37137411.472108595
scenario_0995,35157031.11356139,0.0,0.0,0,1232333.9451634898,37749150.11356139
scenario_2355,33975460.68382176,0.0,0.0,0,1204494.7992019379,36567579.68382176
scenario_4639,36857496.50683224,0.0,0.0,0,1268967.8582001321,39449615.50683224
scenario_6560,35936073.186741285,0.0,0.0,0,1247964.368997065,38528192.186741285
scenario_3143,33542150.938133348,0.0,0.0,0,1187439.6029409512,36134269.938133344
scenario_4138,34413443.64221067,0.0,0.0,0,1209529.325439393,37005562.64221067
scenario_7032,52712300.14999299,1860.7402377495982,0.0,1,1208116.489320329,55304419.14999299
scenario_2340,33992118.59651165,0.0,0.0,0,1201464.3168414317,36584237.59651165
scenario_1190,35319596.84873624,0.0,0.0,0,1228953.785052306,37911715.84873624
scenario_5747,58264627.79082669,2052.873470101296,0.0,2,1279786.6323233612,60856746.79082669
scenario_6015,36590305.264205635,0.0,0.0,0,1267036.5184883433,39182424.264205635
scenario_6018,36529594.97682032,0.0,0.0,0,1259791.4315215289,39121713.97682032
scenario_2915,35202560.03277428,0.0,0.0,0,1216473.7492395714,37794679.03277428
scenario_5244,35305651.59605512,0.0,0.0,0,1235362.2230300226,37897770.59605512
scenario_2741,43395821.377535395,703.7765216657176,0.0,1,1260225.9304581247,45987940.377535395
scenario_1496,35559345.65556325,0.0,0.0,0,1232541.713621202,38151464.65556325
scenario_6673,35136182.55274197,0.0,0.0,0,1231031.3239500497,37728301.55274197
scenario_4642,34527210.232317746,0.0,0.0,0,1215900.5889780906,37119329.232317746
scenario_7210,34005961.79728573,0.0,0.0,0,1204420.920826946,36598080.79728573
scenario_0691,46802744.04837999,917.5328890955702,0.0,1,1257933.9909900958,49394863.04837999
scenario_2730,45315160.43962513,792.3859009599046,0.0,1,1269412.3761944342,47907279.43962513
scenario_1488,34614713.213944994,0.0,0.0,0,1215243.1823068582,37206832.213944994
scenario_4245,95163579.13057277,5895.8605288468425,0.0,1,1226434.8940531905,97755698.13057277
scenario_0465,35354034.43775084,0.0,0.0,0,1239562.1376505368,37946153.43775084
scenario_3811,34013059.99475931,0.0,0.0,0,1195786.5628578938,36605178.99475931
scenario_5844,34370879.90031557,0.0,0.0,0,1209369.4619164793,36962998.90031557
scenario_5824,35417410.43001035,0.0,0.0,0,1239647.959740588,38009529.43001035
scenario_1968,34995373.81029123,0.0,0.0,0,1226419.7766297543,37587492.81029123
scenario_6199,35616600.48018295,0.0,0.0,0,1243352.18072749,38208719.48018295
scenario_3314,50035374.65816611,1465.31247517784,0.0,1,1233551.0263627334,52627493.65816611
scenario_0583,34866922.28359237,0.0,0.0,0,1223135.888882014,37459041.28359237
scenario_7406,34930098.15880057,0.0,0.0,0,1225143.5065380302,37522217.15880057
scenario_2517,35366846.10537818,0.0,0.0,0,1238694.8896860757,37958965.10537818
scenario_1989,36726778.542620786,0.0,0.0,0,1272836.0536165242,39318897.542620786
scenario_3948,34550817.61026814,0.0,0.0,0,1218222.4950853884,37142936.61026814
scenario_3152,35538373.069024116,0.0,0.0,0,1235358.718854868,38130492.069024116
scenario_2643,35044378.28781633,0.0,0.0,0,1220937.951982041,37636497.28781633
scenario_4500,41014914.46490342,551.9625643965451,0.0,1,1239480.7819640357,43607033.46490342
scenario_3155,42455987.53838776,752.3836217887861,0.0,1,1223101.4774072296,45048106.53838776
scenario_1463,36833739.3087264,0.0,0.0,0,1268268.000604183,39425858.3087264
scenario_1246,35298958.902996466,0.0,0.0,0,1236245.111465278,37891077.902996466
scenario_1054,36836947.69078546,0.0,0.0,0,1271908.3665794993,39429066.69078546
scenario_4924,34803082.60107075,0.0,0.0,0,1221742.5371817653,37395201.60107075
scenario_5666,45418112.89116933,701.2289239729595,0.0,1,1276046.9365873984,48010231.89116933
scenario_4161,37057578.7060498,0.0,0.0,0,1263010.8413111898,39649697.7060498
scenario_1332,47954896.23029041,1336.9383899513373,0.0,1,1219406.0311951248,50547015.23029041
scenario_1821,36054981.456424505,0.0,0.0,0,1249793.316089629,38647100.456424505
scenario_4746,34613782.29451919,0.0,0.0,0,1215624.944425107,37205901.29451919
scenario_1040,34471659.93021169,0.0,0.0,0,1216410.2328811327,37063778.93021169
scenario_4573,35817859.24159886,0.0,0.0,0,1243336.6807249596,38409978.24159886
scenario_7228,35327576.702198416,0.0,0.0,0,1230763.1294141004,37919695.702198416
scenario_2527,34085303.02128574,0.0,0.0,0,1199613.0289229453,36677422.02128574
scenario_0790,41577231.49676865,787.2601250268353,0.0,1,1186175.3918685731,44169350.49676865
scenario_5214,35661205.96806189,0.0,0.0,0,1233809.1880708875,38253324.96806189
scenario_7253,42418290.072965175,620.8244397305948,0.0,1,1254059.0287754154,45010409.072965175
scenario_3419,43896169.68451814,822.1542578955655,0.0,1,1242989.2870141007,46488288.68451814
scenario_1373,33807721.67673962,0.0,0.0,0,1194569.2002001877,36399840.67673962
scenario_3996,36739237.09813573,184.91378436360037,0.0,1,1226262.2233728918,39331356.09813573
scenario_7147,34096881.46779633,0.0,0.0,0,1204019.4053533035,36689000.46779633
scenario_5881,35549918.98817993,0.0,0.0,0,1242521.5839185605,38142037.98817993
scenario_4225,40153038.60172253,482.6025160801378,0.0,1,1227879.9074863137,42745157.60172253
scenario_0266,38574151.52669858,142.97517027505182,0.0,1,1281045.1453056205,41166270.52669858
scenario_1933,35171858.05586386,0.0,0.0,0,1230684.8653173393,37763977.05586386
scenario_0573,35372697.88812646,0.0,0.0,0,1237086.0658148061,37964816.88812646
scenario_1908,35260493.134495914,0.0,0.0,0,1230413.7934266173,37852612.134495914
scenario_2567,35978415.99938074,0.0,0.0,0,1246333.45369725,38570534.99938074
scenario_2353,34686633.5814614,0.0,0.0,0,1218941.797222169,37278752.5814614
scenario_6584,36300850.289309524,0.0,0.0,0,1262175.3864028351,38892969.289309524
scenario_7126,33680630.53842409,0.0,0.0,0,1194197.8930323338,36272749.53842409
scenario_7245,43961316.9269736,866.4249428121352,0.0,1,1220446.9553364813,46553435.9269736
scenario_5390,35269249.162946165,0.0,0.0,0,1233506.9311031941,37861368.162946165
scenario_1116,33408092.426428918,0.0,0.0,0,1185705.2327923488,36000211.426428914
scenario_5652,35090329.28997459,0.0,0.0,0,1232840.653859966,37682448.28997459
scenario_5868,39101109.83866968,192.07319909466105,0.0,1,1271474.1019945117,41693228.83866968
scenario_3297,34052364.73044153,0.0,0.0,0,1202904.5686426926,36644483.73044153
scenario_4900,34488161.81631421,0.0,0.0,0,1215178.3191118327,37080280.81631421
scenario_3866,34526872.818246976,0.0,0.0,0,1215988.7267251192,37118991.818246976
scenario_1034,35408328.14812295,0.0,0.0,0,1233926.9452172609,38000447.14812295
scenario_5769,36094939.81935348,0.0,0.0,0,1246635.9670204504,38687058.81935348
scenario_0491,34118068.44045417,0.0,0.0,0,1208867.983254972,36710187.44045417
scenario_3374,37331040.74766297,0.0,0.0,0,1280284.1689496515,39923159.74766297
scenario_1595,43163034.78045784,595.7155708454497,0.0,1,1279201.0439865761,45755153.78045784
scenario_0399,35598062.56060172,0.0,0.0,0,1245465.7183873528,38190181.56060172
scenario_1590,48089880.846563295,1118.6120568720225,0.0,1,1271231.5713656084,50681999.846563295
scenario_4845,35980694.85070628,0.0,0.0,0,1246370.0399515468,38572813.85070628
scenario_5929,37170343.2723486,0.0,0.0,0,1281283.3211222617,39762462.2723486
scenario_6084,35846302.8934114,0.0,0.0,0,1228814.436342378,38438421.8934114
scenario_4893,73898198.95860796,3948.0062020347495,0.0,1,1211354.0463825562,76490317.95860796
scenario_1965,35262542.49583875,0.0,0.0,0,1236169.619646818,37854661.49583875
scenario_2199,35930947.350671776,0.0,0.0,0,1256039.770039857,38523066.350671776
scenario_7407,56882998.77849704,2157.491396016836,0.0,1,1233268.2229816508,59475117.77849704
scenario_5080,34197890.00311822,0.0,0.0,0,1208812.4965839875,36790009.00311822
scenario_4097,35950983.87745046,0.0,0.0,0,1247563.1300987513,38543102.87745046
scenario_0787,36463716.67195958,0.0,0.0,0,1249716.0766364695,39055835.67195958
scenario_5720,34369289.37430321,0.0,0.0,0,1211562.696381253,36961408.37430321
scenario_5723,36903150.380634695,205.757838972238,0.0,1,1218562.6959373401,39495269.380634695
scenario_4178,34621328.282487914,0.0,0.0,0,1212969.6035768485,37213447.282487914
scenario_5104,36135979.849823125,0.0,0.0,0,1252939.3966283028,38728098.849823125
scenario_0714,34755987.922156446,0.0,0.0,0,1222473.1682946067,37348106.922156446
scenario_1913,34352714.90566716,0.0,0.0,0,1211453.5666349446,36944833.90566716
scenario_6668,36489854.283204675,0.0,0.0,0,1268036.7052226749,39081973.283204675
scenario_0642,34883625.28053793,0.0,0.0,0,1221071.9691753476,37475744.28053793
scenario_1440,33168173.173424248,0.0,0.0,0,1184135.317546988,35760292.173424244
scenario_1637,35645863.74312406,0.0,0.0,0,1231796.9079689113,38237982.74312406
scenario_2617,33024239.155943263,0.0,0.0,0,1178125.294051958,35616358.15594326
scenario_6167,36133148.899650045,0.0,0.0,0,1250016.6510801944,38725267.899650045
scenario_5646,43750225.46467565,752.7784415314986,0.0,1,1252087.1545568574,46342344.46467565
scenario_5568,44654972.39635117,1101.298233792923,0.0,1,1195821.5543226954,47247091.39635117
scenario_4805,34482118.7516724,0.0,0.0,0,1216534.377471969,37074237.7516724
scenario_4222,35038154.698090136,0.0,0.0,0,1227579.925307425,37630273.698090136
scenario_3067,34567874.68672088,0.0,0.0,0,1216837.5715400625,37159993.68672088
scenario_2923,54368040.15541,1754.6072481748215,0.0,1,1269163.7934401939,56960159.15541
scenario_5923,37185515.29223856,0.0,0.0,0,1273732.9572494533,39777634.29223856
scenario_5661,36628981.25446416,0.0,0.0,0,1268442.005506637,39221100.25446416
scenario_0587,44613890.93809586,1010.3617513730519,0.0,1,1219704.345648584,47206009.93809586
scenario_6681,33609497.08480792,0.0,0.0,0,1189552.795166513,36201616.08480792
scenario_7112,35091778.07697555,0.0,0.0,0,1225051.3461826686,37683897.07697555
scenario_1513,33970737.21283199,0.0,0.0,0,1201708.225794944,36562856.21283199
scenario_5213,36347907.355185226,0.0,0.0,0,1257554.5740472348,38940026.355185226
scenario_5149,36142572.27259332,0.0,0.0,0,1251614.1819653958,38734691.27259332
scenario_6019,34275408.036101855,0.0,0.0,0,1201615.700818615,36867527.036101855
scenario_4569,36210686.36732276,0.0,0.0,0,1255734.364440953,38802805.36732276
scenario_2113,40173592.36156713,482.57104228425396,0.0,1,1228837.3139338507,42765711.36156713
scenario_3666,36882177.901304014,0.0,0.0,0,1255494.0727925412,39474296.901304014
scenario_6745,35410205.278047994,0.0,0.0,0,1236532.6801041607,38002324.278047994
scenario_4189,37698300.15944092,0.0,0.0,0,1290361.3033294603,40290419.15944092
scenario_4369,33028995.142283812,0.0,0.0,0,1171613.261951726,35621114.14228381
scenario_1310,34262336.7326213,0.0,0.0,0,1206680.315186591,36854455.7326213
scenario_2586,35591201.62624026,0.0,0.0,0,1243625.7176015486,38183320.62624026
scenario_4099,35084744.77963114,0.0,0.0,0,1225273.0026414045,37676863.77963114
scenario_7427,35639473.742191754,0.0,0.0,0,1238513.950526985,38231592.742191754
scenario_6554,33942477.21220083,0.0,0.0,0,1199731.6562512435,36534596.21220083
scenario_0099,32813325.135635242,0.0,0.0,0,1176888.1309886812,35405444.13563524
scenario_4995,35539304.92375102,0.0,0.0,0,1234631.5640705354,38131423.92375102
scenario_5889,33934299.113508396,0.0,0.0,0,1173869.4591188321,36526418.113508396
scenario_4815,33629346.35235884,0.0,0.0,0,1188369.5080356784,36221465.35235884
scenario_0517,34017416.68732931,0.0,0.0,0,1199507.6208307995,36609535.68732931
scenario_0607,34237719.86425366,0.0,0.0,0,1206066.034685843,36829838.86425366
scenario_7411,34641994.585105315,0.0,0.0,0,1215733.0001410441,37234113.585105315
scenario_3766,33950374.97148025,0.0,0.0,0,1203340.0860885172,36542493.97148025
scenario_1573,34158056.97629599,0.0,0.0,0,1208818.170736596,36750175.97629599
scenario_6561,34894721.45061151,0.0,0.0,0,1223240.3162378105,37486840.45061151
scenario_7097,35690873.39458734,0.0,0.0,0,1241703.3978775237,38282992.39458734
scenario_5119,34345375.17975498,0.0,0.0,0,1202833.189646844,36937494.17975498
scenario_2017,36123782.42423121,0.0,0.0,0,1253924.2298576776,38715901.42423121
scenario_3810,35339336.18298879,0.0,0.0,0,1211655.0098916222,37931455.18298879
scenario_3451,64172180.5286176,2943.0106371897,0.0,1,1217087.5275619505,66764299.5286176
scenario_4407,34674952.27692647,0.0,0.0,0,1212714.341180353,37267071.27692647
scenario_5598,43694672.50285701,610.8950187991163,0.0,1,1290618.262559981,46286791.50285701
scenario_0514,35226709.966128916,0.0,0.0,0,1230058.209568076,37818828.966128916
scenario_2180,34564269.15274021,0.0,0.0,0,1213197.0280055318,37156388.15274021
scenario_1502,35633852.06564078,0.0,0.0,0,1246842.5441194137,38225971.06564078
scenario_1191,34977914.865174554,0.0,0.0,0,1227757.1090486785,37570033.865174554
scenario_4164,34883610.174663804,0.0,0.0,0,1227210.7550890555,37475729.174663804
scenario_3092,36603776.00305073,0.0,0.0,0,1266751.772581712,39195895.00305073
scenario_6065,34566518.61941107,0.0,0.0,0,1217888.9775679884,37158637.61941107
scenario_1227,36539999.3549841,0.0,0.0,0,1268748.0170938403,39132118.3549841
scenario_4723,77488543.67928436,4227.684197607322,0.0,1,1238535.7836103323,80080662.67928436
scenario_2799,35082457.57572438,0.0,0.0,0,1233033.7650284236,37674576.57572438
scenario_0485,34365312.150874384,0.0,0.0,0,1194339.0418662415,36957431.150874384
scenario_5777,36430772.891186185,0.0,0.0,0,1262951.5016251164,39022891.891186185
scenario_5025,71005078.89846057,3485.5100027730564,0.0,2,1240164.7853697664,73597197.89846057
scenario_2810,35489798.14973518,0.0,0.0,0,1241047.755583813,38081917.14973518
scenario_7412,35602836.34509057,0.0,0.0,0,1229011.9536111532,38194955.34509057
scenario_5404,34992269.391215995,0.0,0.0,0,1218198.8765553082,37584388.391215995
scenario_6999,36224396.95197985,0.0,0.0,0,1249927.2194769322,38816515.95197985
scenario_6043,33738012.949853756,0.0,0.0,0,1196877.0317830679,36330131.949853756
scenario_2410,35584867.844118655,0.0,0.0,0,1245248.3609626382,38176986.844118655
scenario_6618,34212380.98533027,0.0,0.0,0,1207885.0765384561,36804499.98533027
scenario_3842,37056925.11156728,0.0,0.0,0,1274920.3990862959,39649044.11156728
scenario_5265,48224514.99291234,1149.9411587147729,0.0,1,1271491.2918289201,50816633.99291234
scenario_7137,35378616.544450015,0.0,0.0,0,1236069.2154220908,37970735.544450015
