scenario,dispatch_cost,ens_mwh,spill_mwh,ens_hours,total_net_load_mwh,total_cost_with_fixed
scenario_6782,35310736.34966874,0.0,0.0,0,1236275.1122101783,37897951.34966874
scenario_1354,54189889.76816641,1931.2057883328625,0.0,1,1219106.5277075418,56777104.76816641
scenario_3257,37097366.7766691,0.0,0.0,0,1282902.7813240879,39684581.7766691
scenario_1885,34100359.74355543,0.0,0.0,0,1208816.3139468082,36687574.74355543
scenario_3665,34947865.17723937,0.0,0.0,0,1212152.0492358757,37535080.17723937
scenario_0442,34783718.135054745,0.0,0.0,0,1219548.6309270528,37370933.135054745
scenario_5899,36570993.1621266,0.0,0.0,0,1264194.2928220648,39158208.1621266
scenario_3052,35976919.47609954,0.0,0.0,0,1250285.4592999304,38564134.47609954
scenario_4036,34421606.174126334,0.0,0.0,0,1210442.5864006244,37008821.174126334
scenario_3956,35925439.25551815,0.0,0.0,0,1250415.1722585445,38512654.25551815
scenario_2083,35396408.91404787,0.0,0.0,0,1233557.4016396797,37983623.91404787
scenario_3358,44119117.327353805,860.8704613898581,0.0,1,1233825.9310037422,46706332.327353805
scenario_1743,35050175.933493465,0.0,0.0,0,1230280.73799226,37637390.933493465
scenario_2157,34848596.33822694,0.0,0.0,0,1221110.1154043889,37435811.33822694
scenario_2947,76541086.86098734,3931.1319102927705,0.0,2,1249027.9929577573,79128301.86098734
scenario_6746,35317942.964973494,0.0,0.0,0,1236302.9335718993,37905157.964973494
scenario_2678,36588475.08596913,0.0,0.0,0,1247451.2727297419,39175690.08596913
scenario_2677,35583660.48715096,0.0,0.0,0,1222998.4465038858,38170875.48715096
scenario_3032,40505508.03278369,472.3479422788064,0.0,1,1246302.5769877192,43092723.03278369
scenario_2559,34626639.99250373,0.0,0.0,0,1221907.7004367963,37213854.99250373
scenario_2442,34972406.813930646,0.0,0.0,0,1226903.246070436,37559621.813930646
scenario_3622,35625615.47344576,0.0,0.0,0,1235188.7628746792,38212830.47344576
scenario_5789,34408342.37263515,0.0,0.0,0,1211202.2203384715,36995557.37263515
scenario_6524,37756422.67623047,0.0,0.0,0,1261102.2427129317,40343637.67623047
scenario_0563,38049386.76782505,201.34386001341454,0.0,1,1257328.422773575,40636601.76782505
scenario_4589,34484353.32935611,0.0,0.0,0,1213526.2467678436,37071568.32935611
scenario_6687,34942139.449599415,0.0,0.0,0,1227676.804484581,37529354.449599415
scenario_0749,35288810.95305164,0.0,0.0,0,1231883.4987426535,37876025.95305164
scenario_6836,36424297.11577865,0.0,0.0,0,1257742.17385232,39011512.11577865
scenario_4865,35074320.680646256,0.0,0.0,0,1223264.6345940246,37661535.680646256
scenario_7337,34690312.261206545,0.0,0.0,0,1218241.4693649295,37277527.261206545
