run,model,S,fixed_commitment_cost,expected_dispatch_cost,expected_total_cost,p95_total_cost,worst_total_cost,expected_ens_mwh,total_ens_mwh,ens_probability,expected_ens_hours,total_spill_mwh,unserved_energy_rate,n_evaluation_scenarios,no_load_cost,startup_cost,shutdown_cost,startup_count,committed_unit_hours,normalized_expected_cost,normalized_worst_cost
deterministic,deterministic,1,2273376.0,250219345.65632614,252492721.65632614,441245849.3391084,743603973.7287723,21626.10844345235,43252216.8869047,1.0,7.572,0.0,0.017545840019189084,2000,2269505.0,3871.0,0.0,103,2074,1.0,1.0
full_S100,full,100,2592119.0,37470152.161141664,40062271.161141664,53558916.654648125,159202263.08890387,212.15766423072893,424315.32846145786,0.167,0.1945,0.0,0.00017212918566327848,2000,2587282.0,4837.0,0.0,126,2405,0.15866703364095927,0.21409549802509864
full_S200,full,200,2610478.0,36400541.41844444,39011019.41844444,45130995.053826034,145614056.19929934,102.21798259694108,204435.96519388218,0.097,0.111,0.0,8.293218238592496e-05,2000,2605288.0,5190.0,0.0,132,2431,0.1545035403893474,0.19582205225332983
full_S500,full,500,2645786.0,35882885.222108305,38528671.222108305,40382693.09276977,92766556.63730736,48.39628263942899,96792.56527885798,0.0505,0.0565,0.0,3.926519812546181e-05,2000,2640880.0,4906.0,0.0,125,2467,0.15259319543693856,0.12475263704164084
full_S1000,full,1000,2659639.0,35751951.07320406,38411590.07320406,40074848.231491126,91245956.2590196,32.47583570653887,64951.67141307773,0.032,0.0355,0.0,2.634851384780327e-05,2000,2654817.0,4822.0,0.0,124,2493,0.15212949435226492,0.12270773083886362
full_S2500,full,2500,2691501.0,35606450.07393918,38297951.07393918,39962845.08269441,72169783.10681185,14.853198372678712,29706.396745357422,0.0165,0.0185,0.0,1.2050796984660672e-05,2000,2686686.0,4815.0,0.0,123,2513,0.15167942593635406,0.09705405788099729
pisasr_S100,pisasr,100,2587215.0,37691966.434024416,40279181.434024416,54966544.34503078,161471112.7997347,235.08426826030242,470168.53652060486,0.179,0.209,0.0,0.00019073015252414637,2000,2582227.0,4988.0,0.0,129,2406,0.15952610898958652,0.21714665131500616
pisasr_S200,pisasr,200,2607153.0,36824489.078020476,39431642.07802048,49457066.79482201,176046905.19223002,146.56636035865586,293132.7207173117,0.1315,0.1505,0.0,0.00011891320705119253,2000,2601938.0,5215.0,0.0,135,2423,0.15616942072370638,0.2367482038987095
pisasr_S500,pisasr,500,2620500.0,36301244.69969974,38921744.69969974,44492840.709490955,131742352.96852957,92.42655075410646,184853.10150821292,0.093,0.103,0.0,7.498813192847038e-05,2000,2615460.0,5040.0,0.0,128,2425,0.15414996695499622,0.17716736007731754
pisasr_S1000,pisasr,1000,2645256.0,36117628.03116379,38762884.03116379,41804540.86437244,135689370.1801319,73.45611422625622,146912.22845251244,0.0725,0.0815,0.0,5.959690954178076e-05,2000,2640024.0,5232.0,0.0,132,2451,0.15352079765659493,0.1824753161279155
pisasr_S2500,pisasr,2500,2647653.0,36114571.49530718,38762224.49530718,41669362.23909124,110077995.19939756,72.28646240391899,144572.924807838,0.0675,0.0745,0.0,5.8647939744161194e-05,2000,2642567.0,5086.0,0.0,132,2475,0.15351818555810637,0.1480330916568612
